timestamp,bpm,accel_x,accel_y,accel_z
2025-11-12T18:50:14Z,99,-0.275,-0.51,9.414
2025-11-12T18:50:14Z,100,-0.353,-0.51,9.375
2025-11-12T18:50:14Z,100,-0.314,-0.51,9.454
2025-11-12T18:50:14Z,100,-0.275,-0.51,9.454
2025-11-12T18:50:14Z,100,-0.235,-0.51,9.414
2025-11-12T18:50:14Z,101,-0.275,-0.51,9.454
2025-11-12T18:50:14Z,101,-0.314,-0.51,9.414
2025-11-12T18:50:14Z,101,-0.275,-0.549,9.414
2025-11-12T18:50:14Z,103,-0.314,-0.51,9.493
2025-11-12T18:50:14Z,111,-0.275,-0.588,9.414
2025-11-12T18:50:14Z,117,-0.235,-0.431,9.454
2025-11-12T18:50:14Z,114,-0.314,-0.51,9.454
2025-11-12T18:50:14Z,112,-0.314,-0.51,9.454
2025-11-12T18:50:14Z,111,-0.353,-0.51,9.414
2025-11-12T18:50:14Z,109,-0.275,-0.471,9.454
2025-11-12T18:50:14Z,108,-0.314,-0.431,9.454
2025-11-12T18:50:14Z,106,-0.314,-0.51,9.454
2025-11-12T18:50:14Z,105,-0.275,-0.471,9.454
2025-11-12T18:50:14Z,105,-0.353,-0.51,9.454
2025-11-12T18:50:14Z,104,-0.353,-0.51,9.375
2025-11-12T18:50:14Z,104,-0.235,-0.51,9.414
2025-11-12T18:50:14Z,103,-0.314,-0.51,9.414
2025-11-12T18:50:14Z,103,-0.275,-0.51,9.414
2025-11-12T18:50:14Z,102,-0.275,-0.471,9.414
2025-11-12T18:50:14Z,103,-0.314,-0.471,9.454
2025-11-12T18:50:14Z,102,-0.314,-0.51,9.454
2025-11-12T18:50:14Z,102,-0.314,-0.549,9.454
2025-11-12T18:50:14Z,102,-0.353,-0.431,9.414
2025-11-12T18:50:14Z,102,-0.275,-0.51,9.493
2025-11-12T18:50:14Z,101,-0.314,-0.51,9.414
2025-11-12T18:50:14Z,101,-0.353,-0.51,9.454
2025-11-12T18:51:17Z,101,-0.353,-0.51,9.493
2025-11-12T18:51:17Z,101,-0.314,-0.51,9.375
2025-11-12T18:51:17Z,101,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,101,-0.314,-0.471,9.414
2025-11-12T18:51:17Z,101,-0.275,-0.51,9.493
2025-11-12T18:51:17Z,101,-0.314,-0.51,9.493
2025-11-12T18:51:17Z,101,-0.314,-0.471,9.414
2025-11-12T18:51:17Z,101,-0.314,-0.471,9.454
2025-11-12T18:51:17Z,101,-0.314,-0.471,9.375
2025-11-12T18:51:17Z,101,-0.314,-0.51,9.414
2025-11-12T18:51:17Z,101,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.235,-0.549,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.431,9.414
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.314,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.314,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.493
2025-11-12T18:51:17Z,100,-0.235,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.375
2025-11-12T18:51:17Z,100,-0.314,-0.549,9.454
2025-11-12T18:51:17Z,100,-0.314,-0.549,9.375
2025-11-12T18:51:17Z,100,-0.353,-0.431,9.454
2025-11-12T18:51:17Z,100,-0.314,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.454
2025-11-12T18:51:17Z,100,-0.314,-0.549,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.493
2025-11-12T18:51:17Z,100,-0.353,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.275,-0.549,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.51,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.549,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.493
2025-11-12T18:51:17Z,100,-0.235,-0.549,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.414
2025-11-12T18:51:17Z,100,-0.353,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.414
2025-11-12T18:51:17Z,99,-0.314,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.353,-0.51,9.493
2025-11-12T18:51:17Z,100,-0.314,-0.51,9.493
2025-11-12T18:51:17Z,100,-0.314,-0.431,9.454
2025-11-12T18:51:17Z,100,-0.275,-0.471,9.414
2025-11-12T18:51:17Z,100,-0.235,-0.51,9.414
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.493
2025-11-12T18:51:17Z,100,-0.275,-0.51,9.493
2025-11-12T18:51:17Z,100,-0.314,-0.51,9.414
2025-11-12T18:51:17Z,99,-0.353,-0.471,9.493
2025-11-12T18:51:17Z,100,-0.314,-0.471,9.414
2025-11-12T18:51:17Z,99,-0.235,-0.471,9.454
2025-11-12T18:51:17Z,99,-0.275,-0.51,9.414
2025-11-12T18:51:17Z,99,-0.275,-0.471,9.454
2025-11-12T18:51:17Z,99,-0.314,-0.51,9.454
2025-11-12T18:51:17Z,99,-0.275,-0.431,9.414
2025-11-12T18:52:20Z,100,-0.275,-0.549,9.454
2025-11-12T18:52:20Z,99,-0.275,-0.431,9.414
2025-11-12T18:52:20Z,100,-0.314,-0.51,9.414
2025-11-12T18:52:20Z,100,-0.314,-0.471,9.454
